Title,UID,Year,Series,Non-theatrical name (P53),aka,Type,sound/silent,BFI Identifier,BFI link,BFI synopsis,producer,Director,camera/photographer,editor,narrator,Consultant,story,music,gifford_desc,gifford_code,length,Comments,format,Related,From field: Related,Screenings,Sources,Images,Qcodes,BIF_catalogue_1926
The Evolution of the Caddis Fly,SON_0001,1922,Secrets Of Nature,,Evolution of the Caddis Fly,Film,silent,N-9645544,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/158090435,"“The Caddis Fly lays her eggs on the water and they sink to the bottom. The larva emerges and immediately builds itself a protective covering of wood. After passing through the “nymph” stage, its wings begin to appear. It leaves the water, and dries and expands its wings in the sun.” (Synopsis)",,H. Bruce Woolfe,,,,,,,,,,Re-released 1922,,,,,,,,
Hands versus feet,SON_0002,1922,Secrets Of Nature,,,Film,silent,20864,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150018894,"INSTRUCTIONAL. Compares the use of fore-limbs in animals and man. Informative titles introduce the following shots: A savage makes a fire (77); monkeys (113); lions (238); Brown bear (332); Polar bear (401); Otter (490); kangaroo (571); sea-lion (667); and finally, savages shooting, eating, cooking and weaving (752 ft). (Shotlist)",,,Charles Head; Edgar Chance; Oliver G. Pike,W. P. Pycraft,,,,,,,,,,,,,"Compares the use offore-limbs in animals and man. Informative titles introduce the following shots: a savage making a fire; monkeys; lion; brown bear; polar
bear; otter; kangaroo; sealion; and finally, savages snooting, eating, cooking and weaving.",,,"This is an interesting comparison of the methods of progression in animals and man, and shows the use to which the following animals put their libms: Monkeys, the Lion, Brown Bear, Polar Bear, Otter, Kangaroo and Sea Lion."
Infant Welfare In The Bird World ,SON_0003,1922,Secrets Of Nature,,,Film,silent,19492,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150027687,Methods employed by sea birds to care for and protect their young are contrasted with those used by various land-based birds. (NFA Catalogue),,,Charles Head; Edgar Chance; Oliver G. Pike,,,,,,,,,Filmed on the Cornish coast,,,,,The cliffs and sea of the Cornish coast are first shown followed by shots of the nests and young of the following birds; kittiwakes; guillemots; herring gull; manx shearwater; black-backed gulls; woodpecker; chiff-chaff and goldfinch.,,,"Pictures the rearing of young by sea birds on Cornish coast, showing Kittiwake, Guillemot, Herring Gull, Manx Shearwater, and black-headed Gull; and the less successful rearing of young by land birds, including Woodpecker, Chiff-Chaff and Goldfinch."
Skilled Insect Artisans ,SON_0004,1922,Secrets Of Nature,,,Film,silent,19505,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150027700,Sequences from the life cycles of the ailanthus silk moth and the red admiral butterfly. (NFA Catalogue),,,Charles Head; Edgar Chance; Oliver G. Pike,W. P. Pycraft,,,,,,,,Ailanthus Silk Moth and the Red Admiral,,,,,"The ailanthus silk moth caterpillar is shown feeding and weaving a cocoon. The moth emerges and its wings expand. The cocoon is unwound by hand and the dead pupa is revealed. The red admiral caterpillar draws the corners of a leaf together to form and make a tent; the leaf's stalk is bitten in half to make it hang downwards. The caterpillar feeds on the leaf and when full crawls to a place in the sun, suspends itself downwards, casts off its old skin and becomes a pupa; the butterfly emerges, grows to full size and takes to flight.",,,"The Insect Artisans are the Ailanthus Silk Moth and the Red Admiral. The pictures show how these creatures spin silk and weave a cocoon, and the way in which the change from caterpillar to moth is effected."
The Battle Of The Ants ,SON_0005,1922,Secrets Of Nature,,Battle of the Ants,Film,silent,19426,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150027621,"INSTRUCTION. Two colonies of wood-ants in the Zoological Gardens are divided by a moat, across which a piece of timber is laid. The film shows the invasion of the right-hand colony by the rival swarm. After a fierce combat the invaders fro the left bank gain the victory, the nest of the vanquished ants is destroyed, and the Queen and Pupae are carried across to the invaders' camp. (Shotlist)",,Geoffrey Barkas,,Zoological Society of London,,,,,,,,Film with this title used in 'The New Learning Experiment',,,,,"Two colonies of wood-ants in the Zoological Gardens are divided by a moat, across which a piece of timber is laid. The film shows the invasion of the right- hand colony by the rival swarm. After a fierce combat the invaders from the left bank gain the victory, the nest of the vanquished ants is destroyed, and the queen and pupae are carried across to the invaders' camp.",,,"The history of two colonies of Ants at the Zoological Gardens: initial quarrels between individual ants from each colony lead to fierce battle and the kidnapping of the queen; but eventually peace is declared, and the two colonies join forces."
Children Of Nature,SON_0006,1922,Secrets Of Nature,,,Film,silent,19679,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150014327,"INSTRUCTIONAL. This film shows the care taken by nature to preserve the species, by means of adapting to each other creature and its environment. Informative titles introduce shots of the following creatures and their habitat; the pheasant (63); turkeys (93); ducks (116); waterhen(177); swans (265); tree-creepers (357); ducks (355); brown owls (466); ponies (500); goats and sheep (550); dogs (555); rabbits (597); cats and dogs (624); wallabies (650) and monkeys (680), and finally, man-fed lambs (720 ft). (Shotlist)",,,,W. P. Pycraft,,,,,,,,,,,,,This film shows the care taken by nature to preserve the species by means of adapting to each other the creature and its environment. Informative titles introduce shots ofthe following creatures and their habitat: the pheasant; turkeys ducks; waterhen; swans; tree-creepers; brown owls; ponies; goats and sheep; dogs; rabbits; cats and dogs; wallabies; monkeys and man-fed lambs.,,,"This film shows the care taken by Nature to preserve the species, by means of adapting to each other the creature and its environment. This is illustrated by reference to the habitat of the Pheasant, the Water Hen, the Tree Creeper, the Wallaby, the Monkey, the Baboon, the Swan, and the Brown Owl."
Fathoms Deep Beneath The Sea ,SON_0007,1922,Secrets Of Nature,,,Film,silent,19441,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150027636,INSTRUCTIONAL. The film opens with shots of the sea-bed (118) and informative title introduce the following forms of life: the Conger (136); Octopus (189); Wrasse (205); Sea anemones (288); feeding (328); Starfish (411); John Dory (439); the Pipe-fish (473); Shrimps and Prawns acting as scavengers (550); Gur- nard (576); and Spider Crab (740); the film closes with views of the night sky (761 ft). (Shotlist),,H. M. Lomas,,W. P. Pycraft,,,,,,,,,,,,,The film opens with shots of the sea bed and informative titles introduce the following forms of life: the conger; octopus; wrasse; sea anemones; feeding; starfish; John Dory; pipe fish ; shrimps and prawns acting as scavengers; gurnard spider crab. The film closes with shots of the night sky.,,,"Beneath the waves are mountains, plains and valleys full of life: here the Conger, the Octopus, and the Wrasse hunt for food; shrimps and prawns act as scavengers; sea-anemones and starfish decorate the sea-floor, and the Spider-Crab assumes protective colouring by covering its back with pebbles."
The Lair of the Spider,SON_0008,1922,Secrets Of Nature,,,Film,silent,19493,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150027688,The life cycle and activities of the garden spider. (NFA Catalogue),,,,W. P. Pycraft,,,,,,,,,,,,,"Informative titles introduce shots of the male garden spider and the female. She attacks and repels another spider. The male courts her and after mating is seized by the female, bound in a silken net andeaten. The female spins and weaves her net and catches and binds a fly and a beetle. The eggs are then shown in a bag. She retires to sleep for the winter.",,,"The female spider accepts the courtship of her timorous male lover, but afterwards seizes him, binds him in a silken net, and eats him for dinner. She is shown subsequently making her intricate and beautiful web, using it as a lure, repairing it when torn, and weaving a silk cocoon to hold her eggs."
Frocks And Frills ,SON_0009,1922,Secrets Of Nature,,,Film,silent,19486,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150027681,"INSTRUCTIONAL. Shows how the Turkey Cock (70) and Peacock (150) use their ""frocks and frills"" to attract their mates, and how the shape and colouration of the following creatures affords them excellent camouflage: Hen Pheasant (182); Viper (209); Racoons (254); Caterpillars (440); Turbot (492); Sand Dab (533); Dog-fish (599) and scallop (638 ft). (Shotlist)",,,, W. P. Pycraft,,,,,,,,Covers turkeys and peacocks ,,,,,"Shows how the turkey cock and peacock use their ""frocks and frills"" to attract their mates, and how the shape and colouration of the following creatures affords them excellent camouflage: hen pheasant; viper; raccoons; caterpillars; turbot; sand dab; dog-fish and scallop.",,,"In this picture an interesting light is thrown upon the use to which animals and birds put their frocks and frills, as illustrated by the Turkey Cock, the Hen Pheasant, the Viper, the Racoon, the Peacock, and various kinds of fish."
Nature's Gliders ,SON_0010,1922,Secrets Of Nature,,Nature Gliders,Film,silent,19498,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150027693,"Kittiwakes, gannets, swans and other birds are seen in flight in slow motion. (NFA Catalogue)",,Edgar Chance; Oliver G. Pike,Oliver G. Pike,W. P. Pycraft,,,,,,,,Slow motion flight of birds ,,,,,"The following birds are shown in flight in slow-motion photography: kittiwakes
andgannets, wild swan, black-headed gull, the commonfowl and starlings.",,,"Slow-motion photography reveals the beauty and rhythm of the sea-bird’s flight. Interesting studies are shown, demonstrating loss of activity in the domestic fowl, and the wing-action of the starling."
