geometry,name,description,Source
Point,"Royal Highland Show, Ingliston. ","Roots' and 'The Thistle' shown at the Royal Highland Show, Ingliston, June 1936. The Royal Highland is Scotland's biggest annual agricultural show.","The Scotsman, 24 June 1936, p. 16"
Point,"Screening, Bingley","Demonstration of Educational Films at a vacation course for teachers in the summer of 1936, led by G. T. Hankin. Included 'The Flight Machine' and a film about plant growth. ","Yorkshire Post and Leeds Intelligencer, 29 July 1936, p. 3"
Point,"Screening: Albion Cinema, South Shields. ","Albion Cinema, Tynemouth Road, South Shields. Selection of 'Secrets' showing ornithological subjects.  ","Shields Daily News, 22 November 1932, p. 6"
Point,"Screening: Apollo, Southsea","Unspecified 'Secrets of Nature' films, shown at the Apollo in Southsea, July 1930.","Portsmouth Evening News, 19 July 1930, p. 1"
Point,Screening: Berwick-upon-Tweed,"Giant Snails' shown at The Playhouse, Berwick-upon-Tweed, March 1924","The Berwick Advertiser, 13 March 1924, p. 1"
Point,Screening: Birmingham and Midlands Institute,"Secrets shown at the Midland Pavilion, February 1924

","Birmingham Daily Gazette, 12 February 1924, p. 3"
Point,Screening: Bournemouth Electric Theatre,"Screenings of ""The Robin"" and ""The Gannet"", February 1924. Electric Theatre, 27 Commercial Road, Bournemouth, BH2. ","Swanage Times & Directory, 9 February 1924, p. 1"
Point,Screening: Brixton Pavilion,Showed the second season of 'Secrets of Nature' in 1923,"Kinematograph Weekly, 11 October 1923, p. 22"
Point,"Screening: Central Hall, Old Market Street, Bristol","Central Hall, Old Market Street, Bristol. 11 February 1927. 'The Life of a Plant'.","The Woman Teacher. Vol. 8, no. 17 (1927), p. 142"
Point,"Screening: Central Picture House, Hull","Screening of 'The Cuckoo's Secret' at the Central Picture House, Hull.","Hull Daily Mail, 8 April 1922, p. 2"
Point,Screening: Chiswick Empire,"Screening of 'The Life of a Plant', Chiswick Empire, London, November 1926.","West London Observer, 12 November 1926, p. 6"
Point,"Screening: Cinema, Swanage","Screening of unspecified 'Secrets' film, supporting a film called 'Going Up'. October 1925. 

","Swanage Times & Directory, 3 October 1925, p. 8. "
Point,"Screening: Cosmopolitan Cinema, Cambridge","London Visitors' and 'Fingers and Thumbs' at the Cosmopolitan Cinema, Cambridge. November 1939. ","Cambridge Daily News, 20 November 1939, p. 2"
Point,"Screening: Electra, Sheffield","Screening of 'Battle of the Ants'. Electra, Fitzalan Square, Sheffield.","Sheffield Daily Telegraph, 3 October 1924, p. 1"
